"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2017-05",luggage_accessories,12539.62,0.7685598634754525,64,0.391304347826087,70,0.4583333333333333
"2017-05",market_place,2476.98,-0.3876863900644702,21,0.10526315789473684,22,0.15789473684210525
"2017-05",musical_instruments,9639.44,1.524451148770568,18,0.125,20,0.25
"2017-05",office_furniture,8403.43,-0.10709147514158501,42,-0.125,56,-0.034482758620689655
"2017-05",perfumery,19982.06,0.028068310617492695,132,0.36082474226804123,143,0.4158415841584158
"2017-05",pet_shop,8151.02,0.31831877972922046,66,0.43478260869565216,73,0.43137254901960786
"2017-05",signaling_and_security,508.85,2.9735280337341874,3,0.0,4,0.3333333333333333
"2017-05",small_appliances,5241.44,-0.7732448827556849,16,-0.2,18,-0.1
"2017-05",sports_leisure,34101.73,0.4828734629556996,256,0.391304347826087,305,0.5024630541871922
"2017-05",stationery,5600.18,0.23041938375547097,60,0.7142857142857143,64,0.8285714285714286
"2017-05",tablets_printing_image,1514.98,0.36131478685931984,7,-0.2222222222222222,7,-0.36363636363636365
"2017-05",telephony,8844.39,0.23976231927938838,196,0.42028985507246375,214,0.5070422535211268
"2017-05",toys,22179.25,0.7009370808386562,192,0.8640776699029126,196,0.7345132743362832
"2017-05",unknown,10948.33,0.2572480785285542,83,0.31746031746031744,92,0.29577464788732394
"2017-05",watches_gifts,36619.48,0.5692208934744425,120,0.36363636363636365,129,0.35789473684210527
"2017-06",agro_industry_and_commerce,1390.0,-0.12021975518057651,1,-0.75,1,-0.75
"2017-06",air_conditioning,2084.48,1.2784439319247545,9,0.5,11,0.5714285714285714
"2017-06",art,200.3,-0.9710852069724638,4,-0.3333333333333333,4,-0.3333333333333333
"2017-06",audio,1671.0,-0.19709011234011467,11,-0.35294117647058826,11,-0.35294117647058826
"2017-06",auto,29335.71,0.6762065566745232,101,0.020202020202020204,110,-0.02654867256637168
"2017-06",baby,7864.74,-0.11965676112526469,72,-0.25,78,-0.23529411764705882
"2017-06",bed_bath_table,33803.23,0.034224986690979994,324,0.0030959752321981426,369,0.0221606648199446
"2017-06",books_general_interest,1922.18,0.0437724333041916,19,0.0,20,0.0
"2017-06",books_imported,99.0,,1,,2,
"2017-06",books_technical,145.9,-0.4431297709923664,2,-0.3333333333333333,2,-0.3333333333333333
"2017-06",christmas_supplies,184.7,,2,,3,
"2017-06",cine_photo,79.0,0.3389830508474576,1,0.0,1,0.0
"2017-06",computers_accessories,36193.7,-0.19137191101129847,212,-0.16205533596837945,254,-0.1779935275080906
"2017-06",consoles_games,5309.03,1.11751356094448,26,0.0,29,0.0
"2017-06",construction_tools_construction,376.37,2.764076407640764,4,3.0,8,7.0
"2017-06",cool_stuff,38109.61,0.1732676345992809,195,-0.15217391304347827,199,-0.17427385892116182
